#,Categoria,Punto de verificación,Descripción,Proceso de verificación,Ejemplo correcto 1,Ejemplo correcto 2,Ejemplo correcto 3,Ejemplo correcto 4,Ejemplo correcto 5,Ejemplo incorrecto 1,Ejemplo incorrecto 2,Ejemplo incorrecto 3,Ejemplo incorrecto 4,Ejemplo incorrecto 5
5.4,Enlaces y navegación,Indicar tipo y tamaño de archivos en enlaces de descarga de archivo,Especificar formato y peso de descargas en enlaces de descarga de archivo,Revisar y auditar todos los enlaces destinados a descargar un archivo en el contenido a auditar,"[Manual Instructivo, PDF, 2.3 MB]","[Deck de Ventas 2024] (PowerPoint, 1.2 MB)",[Descargar video instructivo] - MPEG - 64 MB,"[Términos y condiciones], PDF, 2.3 MB","[Descargar instalador], 64 MB",[Descargar archivo] sin más info,Documento disponible (¿qué tipo?),Archivo pesado (¿cuánto?),[PDF] sin tamaño,Descarga sin especificar
5.5,Enlaces y navegación,Textos visibles de enlaces concisos,"El texto visible del enlace debe ser breve (≤ 50 caracteres / ≈ 6 palabras), descriptivo y libre de URLs o parámetros técnicos. Así se mejora la legibilidad, la confianza y la experiencia de copia-pega.","1. Localizar todos los enlaces.
2. Verificar que el texto no sea una URL cruda ni supere 50 caracteres.
3. Comprobar que describe claramente el destino o la acción.",Solicitar nuevo equipo,Política de privacidad,Ver todos los planes,Descargar informe anual,Fill out a new equipment request: https://www.company.com/ShL8-7/kdqw? q=a&sxsrf=AOaemvLnz5U1XKwlud11hlXcWqY W0tdmxg%3A1635156837218&source=hp&ei =ZYN2YeLqCZylxc8Pj-OSs3Ak&iflsig=ALOs- WAMAAAAAYXaRdWsh6uaE3RiAcMJqDzelL_s 6knE&ved=0ahUKEwiisbnzqexzAhUcRPEDH- xBJYOQ4dUDCAk&uact=5&oq=a&gs_lcp=Cg- dnd3Mtd2l6EAMyDgguEIAEEMcBENEDEJMCM MgsILhCABBDHARCJAjILCC4QgAQQxwEQOQM y-CwguEIBDHARDRAZIF,Haga clic aquí para proceder con la solicitud de un nuevo equipo de cómputo        ,En este enlace podrás encontrar la documentación PDF (Versión 2023) de los informes financieros trimestrales de la empresa,https://www.company.com/ShL8-7/kdqw?q=a&sx…,FORMULARIO PARA SOLICITAR UNA NUEVA COMPUTADORA PORTÁTIL,Acceda a esta página para conocer la información relativa a los distintos planes de financiación disponibles en nuestra compañía
6.1,Escritura UX clara,Lenguaje directo y simple,Evitar jerga y tecnicismos innecesarios,Buscar lenguaje complejo,Guarda tus cambios,Elige una opción,Tu pedido está listo,Completa este campo,Error al procesar,Proceda a salvaguardar las modificaciones (pomposo),Efectúe su selección (innecesariamente formal),Diligencie el formulario (jerga burocrática),Se ha producido una incidencia en el procesamiento (verboso),Sírvase proporcionar los datos (arcaico)
6.2,Escritura UX clara,Voz activa sobre pasiva,Usar construcciones activas y directas,Identificar voz pasiva,Enviaremos tu pedido mañana,Recibirás un correo,Completa el formulario,Selecciona tus preferencias,Guardamos tus datos,El pedido será enviado (pasiva),El correo será recibido por ti (pasiva torpe),El formulario debe ser completado (impersonal),Las preferencias deben ser seleccionadas (indirecto),Los datos son guardados por el sistema (innecesario)
6.3,Escritura UX clara,Segunda persona consistente,Dirigirse directamente al usuario,Verificar consistencia del tratamiento,Revisa tu cuenta,Tu perfil está actualizado,Gracias por tu compra,Personaliza tu experiencia,Tus documentos están listos,El usuario debe revisar (tercera persona),Mezclar tú/usted inconsistentemente,Se debe revisar la cuenta (impersonal),Uno debe actualizar (distante),Los clientes deben (genérico)
6.4,Escritura UX clara,Instrucciones claras,"Explicar qué hacer, no solo qué salió mal",Revisar mensajes de error y ayuda,Ingresa un email válido (ejemplo@correo.com),La contraseña necesita 8 caracteres mínimo,Selecciona una fecha futura,Este campo es obligatorio,Formato: DD/MM/AAAA,Error (sin contexto),Dato inválido (¿cuál es válido?),Operación fallida (¿qué hacer?),No se puede procesar (sin solución),Intente de nuevo (sin explicar qué cambiar)
6.5,Escritura UX clara,Definir acrónimos al primer uso	,Introducir siglas con su término completo para claridad	,"1. Detectar siglas sin definición.
2. Añadir término completo y sigla.
3. Repetir en secciones largas.",Inteligencia artificial (IA)	,Indicador clave rendimiento (KPI)	,Producto mínimo viable (MVP)	,Cadena de custodia (CoC)	,Interfaz programación aplicaciones (API)	,KPI (sin explicacion),A.F.G (que significa?),FAWDO (que significa?),CoC (solo sigla)	,API (que significa?)
7.1,Formularios inclusivos,Opciones de género inclusivas,Ofrecer opciones no binarias,Revisar campos de género,Género: F/M/No binario/Prefiero no decir,Identidad de género (opcional),¿Cómo prefieres que te llamemos?,Pronombres: ella/él/elle,Campo opcional con explicación,Sexo: Hombre/Mujer (binario y confunde términos),Sr./Sra. obligatorio,Género* sin opción neutral,Asumir género por nombre,Campo obligatorio sin justificar
7.2,Formularios inclusivos,Justificar datos sensibles,Explicar por qué se pide información personal,Verificar que cada campo explique su uso,Fecha de nacimiento (para verificar mayoría de edad),Código postal (para mostrar tiendas cercanas),Teléfono (solo para problemas con tu pedido),Email (para enviarte la factura),"Género (estadísticas anónimas, opcional)",Ingresa tu DNI sin contexto,Todos los campos son obligatorios,Datos personales: sin más,Información requerida genérico,Pedir datos sin usar
7.3,Formularios inclusivos,Campos opcionales claramente marcados,Distinguir obligatorios de opcionales,Revisar marcado de campos,Email* y Teléfono (opcional),Campos con * son obligatorios,Apellido 2 (opcional),Agregar más detalles (opcional),Solo campos con * son necesarios,Todos los campos parecen obligatorios,No indicar qué es opcional,Asterisco sin explicar,Marcar todo como requerido,Inconsistencia en marcado
8.1,Accesibilidad visual,Evitar muros de texto,Párrafos cortos y escaneables,Verificar longitud de párrafos,Párrafos de 2-4 oraciones,Uso de subtítulos frecuentes,Listas con viñetas,Espaciado adecuado,Información jerarquizada,Párrafo de 15 líneas sin pausas,Texto corrido sin estructura,Sin subtítulos en texto largo,Bloques densos de información,Todo en un solo párrafo
8.2,Accesibilidad visual,No todo en MAYÚSCULAS,Mayúsculas solo para énfasis breve,Buscar texto en mayúsculas,IMPORTANTE: Solo hoy (breve),Título corto en mayúsculas,Siglas como UNESCO,María GARCÍA (apellidos),Botón ENVIAR (UI estándar),LEAN ESTAS INSTRUCCIONES COMPLETAS (párrafo entero),NO OLVIDE CONFIRMAR SU REGISTRO (grita),TODO UN MENSAJE EN MAYÚSCULAS,PÁRRAFOS COMPLETOS ASÍ,DIFICULTA LECTURA RÁPIDA
8.3,Accesibilidad visual,Jerarquía clara,Máximo 3 niveles de encabezados,Revisar estructura de títulos,"H1: Título, H2: Sección, H3: Subsección",Estructura lógica y consistente,Tamaños diferenciados,Numeración clara si aplica,Formato consistente,"H1, H2, H3, H4, H5, H6 (demasiados)",Saltar niveles (H1 a H3),Inconsistencia en jerarquía,Todos los títulos iguales,Sin estructura clara
9.1,Tono y voz inclusivos,Evitar suposiciones,No asumir situación personal del usuario,Revisar asunciones implícitas,Si tienes pareja (opcional),Miembros del hogar (si aplica),Personas a tu cargo (0 o más),Tu situación laboral actual,Tipo de vivienda (varias opciones),Tu esposa/esposo (asume relación hetero),Tus hijos (asume paternidad),Tu coche (asume propiedad),Tu oficina (asume trabajo presencial),Tu casa (asume propiedad)
9.2,Tono y voz inclusivos,Lenguaje empoderador,Dar control y agencia al usuario,Buscar tono paternalista,Tú decides cuándo activarlo,Personaliza según tus necesidades,Tienes el control total,Elige lo que prefieras,"Tu privacidad, tu decisión",Te permitimos hacer (condescendiente),Te dejamos elegir (otorga permiso),Debes seguir estos pasos (autoritario),No puedes continuar sin (limitante),Se te requiere (pasivo y obligatorio)
9.3,Tono y voz inclusivos,Celebrar diversidad,Presentar diversidad positivamente,Verificar representación,Nuestro equipo diverso,Múltiples perspectivas enriquecen,Valoramos las diferencias,Espacios para todas las personas,Tu experiencia única importa,A pesar de las diferencias (negativo),Toleramos la diversidad (mínimo),Intentamos ser inclusivos (débil),Aceptamos a todos (condescendiente),No discriminamos (enfoque negativo)
10.1,Diversidad cultural y racial,Evitar regionalismos excluyentes,Usar español neutro cuando sea posible,Identificar términos muy locales,Automóvil o coche,Ordenador y computadora,Teléfono móvil/celular,Factura/boleta,Aclarar términos regionales,Solo carro (colombiano),Solo computador (sin alternativa),Solo móvil (España),Jerga muy local,Modismos incomprensibles
10.2,Diversidad cultural y racial,Formatos internacionales,Permitir diversos formatos de datos,Revisar campos de entrada,Fecha: DD/MM/AAAA o MM/DD/AAAA,Teléfono con o sin código país,Código postal/ZIP,Nombre(s) y apellido(s),Moneda: selecciona tu divisa,Solo formato español,DNI obligatorio (no todos tienen),Solo formato fecha americano,Un solo formato telefónico,Asumir estructura nombre occidental
10.3,Diversidad cultural y racial,Festividades inclusivas,No asumir celebraciones religiosas/culturales,Revisar referencias culturales,Periodo festivo de diciembre,Días no laborables,Celebraciones de temporada,Fechas especiales para ti,Festividades (configurable),Feliz Navidad a todos,Asumir celebración cristiana,Semana Santa como universal,Solo calendario gregoriano,Ignorar otras tradiciones
4.5,Tipografia y formato accesible,Uso correcto de ampersand,Utilizar “&” solo en nombres propios o expresiones establecidas	,"1. Buscar “&” fuera nombres.
2. Reemplazar por “y”.
3. Validar consistencia estilo.",Johnson & Johnson,Rock & roll clásico        ,Chermayeff & Geismar & Haviv,Procter & Gamble	,Hoefler & Co.	,Ventas & soporte	,Café & torta	,Plan & estrategia	,Diseño & desarrollo,Marketing & comunicación	
4.6,Tipografia y formato accesible,Símbolos copyright y marca correctos	,"Colocar ©, ™, ® según norma; sin espacios ni duplicaciones	","1. Revisar símbolos legales.
2. Aplicar superscript cuando corresponda.
3. Eliminar redundancias.",© 2025 Acme®	,Acme™,© Acme Corp.        ,Producto Acme® registrado	,2025 © Sony. Todos los derechos reservados.,(c) Acme	,Acme (R)	,Acme (tm)	,Copyright © 2025	,"Acme. Marca registrada.
"
